                    0          1          2          3          4          5          6          7          8          9         10         11         12         13         14         15         16         17         18         19         20         21         22         23         24         25         26         27         28         29         30         31         32         33         34         35         36         37         38         39         40         41         42         43         44         45         46         47         48         49         50         51         52         53         54         55         56         57         58         59         60         61         62         63         64         65         66         67         68         69         70         71         72         73         74         75         76         77         78         79         80         81         82         83         84         85         86         87         88         89 
       \pi  0.0002801  0.0000275  0.0000030  0.0000017  0.0000385  0.0001306  0.0000544  0.0000576  0.0046243  0.1937170  0.0201990  0.0000291  0.0000817  0.0001548  0.0002787  0.0001855  0.0000257  0.0000020  0.0000053  0.0001537  0.0006428  0.0001753  0.0001622  0.0096247 *0.6498024  0.0015989  0.0000088  0.0000311  0.0000654  0.0001884  0.0001451  0.0000036  0.0000002  0.0000011  0.0001592  0.0000536  0.0000378  0.0001033  0.0020986  0.1077745  0.0002071  0.0000189  0.0000224  0.0000529  0.0001752  0.0000861  0.0000006  0.0000001  0.0000007  0.0000363  0.0000129  0.0000051  0.0000424  0.0008346  0.0028943  0.0001525  0.0000160  0.0000030  0.0000051  0.0000413  0.0000468  0.0000003  0.0000000  0.0000004  0.0000107  0.0000080  0.0000026  0.0000279  0.0008560  0.0004210  0.0008393  0.0000071  0.0000004  0.0000001  0.0000024  0.0000050  0.0000002  0.0000001  0.0000004  0.0000009  0.0000020  0.0000021  0.0000219  0.0002678  0.0000603  0.0000786  0.0000002  0.0000000  0.0000001  0.0000030 
         ^  0.0000065  0.0000365  0.0000097  0.0000013  0.0000007  0.0000158  0.0000235  0.0000043  0.0000046  0.0001042  0.0047275  0.0164158  0.0000559  0.0000139  0.0000041  0.0000065  0.0000135  0.0000054  0.0000006  0.0000015  0.0003235  0.0002482  0.0000254  0.0000117  0.0002298  0.0596855  0.0026451  0.0000438  0.0000103  0.0000027  0.0000015  0.0000039  0.0000146  0.0000011  0.0000025  0.0002422  0.0000736  0.0000139  0.0000081  0.0003499 *0.9075842  0.0026479  0.0000206  0.0000075  0.0000053  0.0000010  0.0000047  0.0000202  0.0000023  0.0000031  0.0000404  0.0000161  0.0000036  0.0000123  0.0002525  0.0034612  0.0000242  0.0000298  0.0000083  0.0000025  0.0000014  0.0000045  0.0000068  0.0000007  0.0000023  0.0000166  0.0000108  0.0000007  0.0000175  0.0000912  0.0000082  0.0000355  0.0001677  0.0000019  0.0000002  0.0000037  0.0000060  0.0000013  0.0000003  0.0000028  0.0000026  0.0000008  0.0000004  0.0000026  0.0000048  0.0000035  0.0000604  0.0000079  0.0000001  0.0000001 
         {  0.0000739  0.0006754  0.0000818  0.0000097  0.0000118  0.0003253  0.0003055  0.0001142  0.0006931  0.0041723  0.0841929  0.0063699  0.0001768  0.0000144  0.0000876  0.0000414  0.0000298  0.0000009  0.0000011  0.0000322  0.0120221  0.0046209  0.0000741  0.0001554  0.0000805  0.2896577  0.0019460  0.0002482  0.0000028  0.0000150  0.0000000  0.0000001  0.0000000  0.0000000  0.0000001  0.0001369  0.0000558  0.0000002  0.0000163  0.0001562 *0.5903492  0.0012853  0.0000060  0.0000001  0.0000007  0.0000000  0.0000001  0.0000000  0.0000001  0.0000000  0.0000005  0.0000001  0.0000000  0.0000014  0.0000129  0.0016296  0.0000639  0.0000044  0.0000001  0.0000003  0.0000000  0.0000001  0.0000000  0.0000002  0.0000001  0.0000001  0.0000000  0.0000000  0.0000006  0.0000208  0.0000001  0.0000012  0.0000033  0.0000000  0.0000000  0.0000019  0.0000047  0.0000007  0.0000004  0.0000046  0.0000003  0.0000000  0.0000001  0.0000017  0.0000020  0.0000000  0.0000027  0.0000009  0.0000001  0.0000000 
         3  0.0000076  0.0000305  0.0000085  0.0000013  0.0000018  0.0000182  0.0000307  0.0000079  0.0000170  0.0004542 *0.6467642  0.0058751  0.0004802  0.0000142  0.0000104  0.0000024  0.0000059  0.0000011  0.0000002  0.0000004  0.0000834  0.0001419  0.0000260  0.0000215  0.0023731  0.3394960  0.0005137  0.0000631  0.0000025  0.0000038  0.0000003  0.0000002  0.0000001  0.0000000  0.0000002  0.0000064  0.0000052  0.0000016  0.0000064  0.0003427  0.0030057  0.0000661  0.0000023  0.0000005  0.0000006  0.0000001  0.0000000  0.0000000  0.0000000  0.0000000  0.0000005  0.0000006  0.0000001  0.0000013  0.0000129  0.0000654  0.0000149  0.0000025  0.0000002  0.0000002  0.0000001  0.0000000  0.0000000  0.0000000  0.0000001  0.0000003  0.0000001  0.0000000  0.0000003  0.0000018  0.0000015  0.0000003  0.0000002  0.0000000  0.0000000  0.0000002  0.0000002  0.0000000  0.0000000  0.0000001  0.0000001  0.0000000  0.0000000  0.0000002  0.0000002  0.0000005  0.0000000  0.0000000  0.0000000  0.0000000 
         /  0.0000005  0.0000072  0.0000280  0.0000083  0.0000008  0.0000047  0.0000388  0.0000196  0.0000032  0.0000046  0.0006227 *0.7163928  0.0004675  0.0000201  0.0000010  0.0000003  0.0000011  0.0000027  0.0000007  0.0000002  0.0000013  0.0000438  0.0000460  0.0000016  0.0000133  0.0043311  0.2670729  0.0000689  0.0000023  0.0000001  0.0000000  0.0000001  0.0000001  0.0000000  0.0000000  0.0000009  0.0000110  0.0000049  0.0000004  0.0000061  0.0088782  0.0018460  0.0000056  0.0000005  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000001  0.0000012  0.0000004  0.0000001  0.0000016  0.0000283  0.0000013  0.0000023  0.0000001  0.0000000  0.0000000  0.0000001  0.0000003  0.0000000  0.0000000  0.0000001  0.0000003  0.0000000  0.0000001  0.0000002  0.0000001  0.0000003  0.0000002  0.0000000  0.0000000  0.0000001  0.0000004  0.0000010  0.0000001  0.0000002  0.0000003  0.0000001  0.0000000  0.0000001  0.0000000  0.0000000  0.0000002  0.0000002  0.0000000  0.0000000 
         2  0.0000058  0.0000054  0.0000477  0.0000511  0.0000380  0.0000154  0.0000573  0.0000480  0.0000856  0.0000358  0.0001108  0.0005881 *0.5812464  0.0011109  0.0001131  0.0000054  0.0000016  0.0000031  0.0000031  0.0000025  0.0000014  0.0000183  0.0000755  0.0000507  0.0001582  0.0009532  0.0320488  0.2475996  0.0001860  0.0000168  0.0000010  0.0000007  0.0000003  0.0000003  0.0000018  0.0000028  0.0000103  0.0000073  0.0000058  0.0001057  0.0005232  0.1331937  0.0010305  0.0000269  0.0000042  0.0000008  0.0000001  0.0000002  0.0000002  0.0000029  0.0000084  0.0000011  0.0000027  0.0000029  0.0000314  0.0000976  0.0000934  0.0000564  0.0000124  0.0000023  0.0000021  0.0000005  0.0000023  0.0000011  0.0000036  0.0000068  0.0000008  0.0000014  0.0000034  0.0000132  0.0000063  0.0000020  0.0000028  0.0000024  0.0000007  0.0000010  0.0000012  0.0000014  0.0000064  0.0000024  0.0000041  0.0000006  0.0000014  0.0000047  0.0000026  0.0000058  0.0000010  0.0000039  0.0000019  0.0000011 
         }  0.0001560  0.0002011  0.0003403  0.0014689  0.0007294  0.0003296  0.0004080  0.0012336  0.0009797  0.0005182  0.0000445  0.0020868  0.0084875 *0.4994977  0.0078236  0.0001375  0.0000917  0.0002515  0.0000991  0.0001268  0.0000167  0.0000235  0.0002386  0.0008648  0.0004726  0.0002157  0.0118286  0.2464249  0.1202979  0.0008793  0.0000082  0.0000244  0.0000080  0.0000018  0.0000045  0.0000156  0.0000424  0.0004585  0.0004273  0.0005319  0.0006067  0.0066893  0.0732555  0.0042016  0.0001777  0.0000023  0.0000054  0.0000010  0.0000016  0.0000022  0.0000136  0.0000470  0.0001112  0.0001065  0.0003279  0.0001759  0.0002441  0.0020241  0.0004612  0.0000483  0.0000049  0.0000134  0.0000068  0.0000207  0.0000215  0.0000172  0.0001395  0.0001007  0.0000679  0.0000425  0.0000226  0.0001032  0.0002525  0.0001260  0.0000244  0.0001015  0.0001219  0.0001724  0.0001883  0.0000695  0.0001612  0.0003404  0.0001206  0.0000647  0.0000281  0.0000134  0.0000805  0.0007286  0.0004771  0.0000683 
         }  0.0000723  0.0000312  0.0000332  0.0000674  0.0000643  0.0000434  0.0000495  0.0000931  0.0001958  0.0001173  0.0000526  0.0002776  0.0011883  0.2248920  0.0033345  0.0000595  0.0000262  0.0000341  0.0000128  0.0000140  0.0000094  0.0000083  0.0000409  0.0001683  0.0004441  0.0002256  0.0010596  0.0492055 *0.5370537  0.0012251  0.0000248  0.0000142  0.0000150  0.0000062  0.0000062  0.0000060  0.0000075  0.0000784  0.0001001  0.0002447  0.0001903  0.0014594  0.0863790  0.0810756  0.0007824  0.0000143  0.0000109  0.0000179  0.0000068  0.0000047  0.0000064  0.0000108  0.0000690  0.0000802  0.0003389  0.0002523  0.0001160  0.0017733  0.0052857  0.0001411  0.0000135  0.0000087  0.0000073  0.0000058  0.0000112  0.0000110  0.0000292  0.0000247  0.0000394  0.0000688  0.0000569  0.0000645  0.0003322  0.0003292  0.0000163  0.0000129  0.0000088  0.0000087  0.0000096  0.0000034  0.0000112  0.0000408  0.0000166  0.0000202  0.0000178  0.0000119  0.0000188  0.0000909  0.0000767  0.0000151 
         {  0.0011225  0.0000993  0.0000472  0.0000564  0.0001467  0.0000558  0.0000379  0.0001236  0.0012951  0.0011891  0.0000112  0.0000226  0.0001084  0.0050247  0.0049492  0.0009287  0.0000901  0.0000239  0.0000331  0.0001517  0.0000433  0.0000216  0.0000228  0.0004765  0.0003088  0.0000204  0.0000488  0.0018453  0.0069511  0.0023747  0.0003725  0.0001678  0.0000150  0.0000141  0.0000332  0.0000309  0.0000205  0.0000071  0.0003313  0.0003278  0.0003668  0.0004990  0.0095915  0.0029777  0.0022287  0.0002085  0.0001688  0.0000126  0.0000288  0.0000143  0.0000294  0.0000078  0.0000113  0.0006434  0.0026877  0.0251139  0.0313179  0.0066119  0.0012768  0.0020157  0.0004213  0.0002703  0.0000297  0.0001543  0.0001563  0.0002033  0.0001658  0.0004084  0.0029303  0.0677104 *0.3218196  0.0745757  0.0033614  0.0013503  0.0010737  0.0024245  0.0010131  0.0005615  0.0011309  0.0010240  0.0013566  0.0013181  0.0028746  0.0247843  0.1829038  0.1647539  0.0112610  0.0037933  0.0057790  0.0056270 
   \Lambda  0.0000015  0.0000001  0.0000000  0.0000000  0.0000001  0.0000001  0.0000001  0.0000001  0.0000051  0.0000962  0.0000130  0.0000001  0.0000005  0.0000068  0.0000124  0.0000013  0.0000003  0.0000001  0.0000001  0.0000003  0.0000004  0.0000007  0.0000023  0.0000291  0.0006062  0.0000042  0.0000001  0.0000016  0.0000104  0.0000127  0.0000439  0.0000032  0.0000003  0.0000003  0.0000032  0.0000008  0.0000020  0.0000075  0.0000343  0.0005180  0.0000057  0.0000028  0.0000193  0.0000288  0.0000494  0.0002464  0.0000039  0.0000011  0.0000006  0.0000030  0.0000068  0.0000173  0.0000527  0.0001548  0.0016749  0.0006441  0.0001607  0.0000466  0.0000526  0.0000690  0.0001173  0.0000032  0.0000007  0.0000004  0.0000058  0.0000356  0.0001838  0.0001737  0.0012601  0.0139691 *0.8625653  0.0024699  0.0002555  0.0000762  0.0000461  0.0000183  0.0000012  0.0000002  0.0000006  0.0000008  0.0000050  0.0000365  0.0000610  0.0012953  0.0079787  0.1045150  0.0001648  0.0000191  0.0000173  0.0000638 
         }  0.0000101  0.0000154  0.0000091  0.0000043  0.0000011  0.0000025  0.0000037  0.0000033  0.0000017  0.0000044  0.0000114  0.0001575  0.0000136  0.0001417  0.0000310  0.0000085  0.0000200  0.0000499  0.0000056  0.0000017  0.0000074  0.0000234  0.0000216  0.0000100  0.0000120  0.0001487  0.0001355  0.0001226  0.0003723  0.0000301  0.0000079  0.0000519  0.0001562  0.0000095  0.0000025  0.0000462  0.0001258  0.0000998  0.0000696  0.0000558  0.0018065  0.0005188  0.0006504  0.0004855  0.0000766  0.0000074  0.0001145  0.0000973  0.0000114  0.0000022  0.0000560  0.0006139  0.0000884  0.0000902  0.0004976  0.0066020  0.0026606  0.0132542  0.0045741  0.0001984  0.0000065  0.0001276  0.0001674  0.0000095  0.0000045  0.0001558  0.0038912  0.0002042  0.0003186  0.0025739  0.0148387  0.0638459 *0.6581167  0.0392950  0.0002907  0.0001682  0.0002523  0.0001503  0.0000160  0.0000140  0.0000954  0.0006304  0.0001343  0.0001132  0.0006971  0.0043678  0.1195643  0.0525372  0.0027853  0.0002166 
      </s>  0.0000021  0.0000007  0.0000004  0.0000003  0.0000003  0.0000001  0.0000001  0.0000003  0.0000012  0.0000020  0.0000012  0.0000015  0.0000053  0.0008871  0.0000428  0.0000035  0.0000053  0.0000061  0.0000011  0.0000008  0.0000007  0.0000008  0.0000019  0.0000036  0.0000122  0.0000025  0.0000039  0.0000568  0.0084133  0.0001061  0.0000148  0.0000044  0.0000150  0.0000040  0.0000052  0.0000023  0.0000043  0.0000573  0.0000016  0.0000099  0.0000090  0.0000096  0.0013990  0.2869193  0.0027497  0.0000084  0.0000026  0.0000287  0.0000042  0.0000031  0.0000046  0.0000726  0.0001732  0.0000131  0.0001010  0.0001078  0.0000303  0.0061753 *0.6777395  0.0028126  0.0000039  0.0000025  0.0000036  0.0000008  0.0000022  0.0000061  0.0000182  0.0000032  0.0000056  0.0000113  0.0000992  0.0000221  0.0009735  0.0103490  0.0001607  0.0000009  0.0000004  0.0000005  0.0000006  0.0000002  0.0000008  0.0000034  0.0000012  0.0000020  0.0000049  0.0000228  0.0000279  0.0001064  0.0000948  0.0000247 
